Block,Event,Network_ID,Network_Type,Token_ID,Channel_Amount,Participant_1_Settle_Amount,Participant_2_Settle_Amount,Channel_ID,Transaction,Channel_Participant_1,Channel_Participant_2
6581466,ChannelClosed,RDN,Mainnet,,,,,3,0x5210489901815d3720fdaf9c7c9e84a7fd12d57df53a1200b1bcde051a4dd1f5,0xD6e68536eCe0Eac02b39317FdCE814087Bae6118,
6583221,ChannelClosed,RDN,Mainnet,,,,,2,0x01af2bb2e02892067418b47593a0b5c8fdd724a91932bfbabbc21b502c6564c3,0xf2fBCC167cc3f24a620798E27b4BB084dD275253,
6584834,ChannelClosed,RDN,Mainnet,,,,,6,0xf58a177d666ba9a48a1bada69a6d4bd6239b117a12a34c91f513516d3d763d46,0x2CB3e01a636a3Bfc5727718dd9e1ABCdfaE6a617,
6593708,ChannelClosed,RDN,Mainnet,,,,,7,0x317558245613a1478c83be0d1cc27936acb7d225534ac130e3b7cb6e935bf36e,0x0e5215997B8232ace7cC0DEb04dFeB60a4C0beB1,
6593710,ChannelClosed,RDN,Mainnet,,,,,1,0xe16a6eef9584de3cdab902899be1fe21af806bfce8b7dd3c88a8ac9a0101e5cf,0xf1e4b4782BB6cd56a1feB9cDA58C167bb5669F36,
6593710,ChannelClosed,RDN,Mainnet,,,,,8,0x4a2186fe6b873aacb2ef94452e8ad323cc7e13691bcd0370b5c04ed352e248c1,0x0e5215997B8232ace7cC0DEb04dFeB60a4C0beB1,
6593711,ChannelClosed,RDN,Mainnet,,,,,4,0xd168064268a1f21c33218da62d05f661b9e91e81cb2d8670555adffaabf501f2,0xf1e4b4782BB6cd56a1feB9cDA58C167bb5669F36,
6593711,ChannelClosed,RDN,Mainnet,,,,,9,0x5cd2466a698f78150336f570d5b026cbc211792b4fffc90d52a23c6d57ca95ed,0x0e5215997B8232ace7cC0DEb04dFeB60a4C0beB1,
6593713,ChannelClosed,RDN,Mainnet,,,,,11,0x0e5b85385554df5bbddfadc996a0b51a41547828c1593a6bbe58243eef9d69fc,0x0e5215997B8232ace7cC0DEb04dFeB60a4C0beB1,
6593713,ChannelClosed,RDN,Mainnet,,,,,12,0x13ae21aab5bc2eaea482b9680806378264bd9ee845b30f91039377aa00891644,0x0e5215997B8232ace7cC0DEb04dFeB60a4C0beB1,
6593713,ChannelClosed,RDN,Mainnet,,,,,13,0xf70aa7ad3a094e7dc3889e06db456893e50230daf33c4c653c73735cedd63d61,0x0e5215997B8232ace7cC0DEb04dFeB60a4C0beB1,
6593719,ChannelClosed,RDN,Mainnet,,,,,10,0xcd8c48bdec9ee8621bc6416bd7ac12e422e0284277496aed09f7658257a81411,0x0e5215997B8232ace7cC0DEb04dFeB60a4C0beB1,
6593719,ChannelClosed,RDN,Mainnet,,,,,15,0xbf5ffa72a24b6d5e1145aad88e4f67ee1c935856f065dba0cf43c1187c391790,0x0e5215997B8232ace7cC0DEb04dFeB60a4C0beB1,
6593719,ChannelClosed,RDN,Mainnet,,,,,17,0x6c5284ddfbedbf9c8db120dc6d1b3d330d84a937712762e5313506c2f9395fb0,0x0e5215997B8232ace7cC0DEb04dFeB60a4C0beB1,
6593719,ChannelClosed,RDN,Mainnet,,,,,19,0x737be100fe42c879fde5d82fe816bccd06c3fd58a2580889e5d41c158586a85f,0xE03E70e33F2AC48ceC3be5C0C7B06a0f25Ad5610,
6593719,ChannelClosed,RDN,Mainnet,,,,,24,0xd355b19e0e629885e941d1c1e1d22b5b836f0a22a707236fb10d6512eabe39fa,0xE03E70e33F2AC48ceC3be5C0C7B06a0f25Ad5610,
